O49171,1,2021-01-01,Mariah Foster,mariah21@adventure-works.com,"Road-250 Black, 48",1,2181.5625,174.525
SO49172,1,2021-01-01,Brian Howard,brian23@adventure-works.com,"Road-250 Red, 44",1,2443.35,195.468
SO49173,1,2021-01-01,Linda Alvarez,linda19@adventure-works.com,"Mountain-200 Silver, 38",1,2071.4196,165.7136
SO49174,1,2021-01-01,Gina Hernandez,gina4@adventure-works.com,"Mountain-200 Silver, 42",1,2071.4196,165.7136
SO49178,1,2021-01-01,Beth Ruiz,beth4@adventure-works.com,"Road-550-W Yellow, 44",1,1000.4375,80.035
SO49179,1,2021-01-01,Evan Ward,evan13@adventure-works.com,"Road-550-W Yellow, 38",1,1000.4375,80.035
SO49175,1,2021-01-01,Margaret Guo,margaret24@adventure-works.com,"Road-250 Red, 52",1,2443.35,195.468
SO49180,1,2021-01-01,Mitchell Yuan,mitchell6@adventure-works.com,"Road-650 Black, 58",1,782.99,62.6392
SO49176,1,2021-01-01,Shawn Sharma,shawn11@adventure-works.com,"Mountain-200 Silver, 46",1,2071.4196,165.7136
SO49177,1,2021-01-01,Barbara Chande,barbara44@adventure-works.com,"Mountain-200 Silver, 42",1,2071.4196,165.7136
SO49186,1,2021-01-02,Cara Xu,cara8@adventure-works.com,"Road-250 Red, 52",1,2443.35,195.468
SO49187,1,2021-01-02,Lacey Liu,lacey16@adventure-works.com,"Road-250 Black, 58",1,2181.5625,174.525
SO49190,1,2021-01-02,Omar Zhu,omar13@adventure-works.com,"Road-550-W Yellow, 40",1,1000.4375,80.035
SO49185,1,2021-01-02,Cassandra Fernandez,cassandra17@adventure-works.com,"Mountain-200 Black, 46",1,2049.0982,163.9279
SO49184,1,2021-01-02,Monica Martinez,monica17@adventure-works.com,"Mountain-200 Black, 46",1,2049.0982,163.9279
SO49189,1,2021-01-02,Marie Gonzalez,marie20@adventure-works.com,"Road-650 Black, 48",1,782.99,62.6392
SO49182,1,2021-01-02,Alexandra Hall,alexandra89@adventure-works.com,"Road-250 Red, 48",1,2443.35,195.468
SO49183,1,2021-01-02,Alejandro Raji,alejandro46@adventure-works.com,"Road-250 Red, 52",1,2443.35,195.468
SO49181,1,2021-01-02,Derrick Jim�nez,derrick5@adventure-works.com,"Road-250 Black, 48",1,2181.5625,174.525
SO49188,1,2021-01-02,Erin Cox,erin15@adventure-works.com,"Mountain-200 Black, 38",1,2049.0982,163.9279
SO49192,1,2021-01-03,Eugene Sun,eugene17@adventure-works.com,"Road-550-W Yellow, 44",1,1000.4375,80.035
SO49191,1,2021-01-03,Benjamin Thompson,benjamin52@adventure-works.com,"Road-550-W Yellow, 44",1,1000.4375,80.035
SO49195,1,2021-01-03,Barry Malhotra,barry5@adventure-works.com,"Road-650 Red, 58",1,782.99,62.6392
SO49194,1,2021-01-03,Clayton Wagner,clayton1@adventure-works.com,"Road-650 Black, 60",1,782.99,62.6392
SO49196,1,2021-01-03,Katherine Perry,katherine33@adventure-works.com,"Mountain-200 Silver, 42",1,2071.4196,165.7136
SO49198,1,2021-01-03,Lori Alvarez,lori7@adventure-works.com,"Road-650 Black, 52",1,782.99,62.6392
SO49199,1,2021-01-03,Jillian Patel,jillian3@adventure-works.com,"Road-650 Black, 62",1,782.99,62.6392
SO49193,1,2021-01-03,Summer Rodriguez,summer17@adventure-works.com,"Mountain-200 Black, 42",1,2049.0982,163.9279
SO49197,1,2021-01-03,Oscar Flores,oscar20@adventure-works.com,"Mountain-200 Black, 42",1,2049.0982,163.9279
